,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
"R.K COLLEGE OF SYSTEM AND MANGEMENT,(FIROZABAD) (Id: C-15502)",6,9,1,1,,,,,1,,,,1,4
"R.K. COLLGE OF EDUCATION, GURGAON (Id: C-34989)",6,3,1,,,,2,3,1,,,,,
R.K.D. College (Id: C-12902),26,6,1,,,,17,3,,,2,,,
R.K.Degree College (Id: C-23916),21,7,2,,,,9,,,,,,,1
R. K. Desai Achchhariwala College of Computer and Applied Sciences (Id: C-501),2,5,,,,,1,,,,,,,
R. K. Desai College of Commerce & Management (Id: C-522),5,7,,1,,,3,2,,,,,,
R. K. Desai College of Education (Id: C-638),6,6,,1,3,,3,2,,,,,,
R.K DESAI SCIENCE COLLEGE (Id: C-56373),1,8,,,,1,,3,,,,,,
"R.K.D.F. College of Engineering, Village Jatkhedi, NH-12, Misrod, Bhopal (Id: C-36121)",110,54,2,,1,,10,4,,,2,6,,
"R.K.D.F. College of Nursing NH 12 Hoshangabad Road, Bhopal (Id: C-35170)",18,42,3,4,,1,9,23,,,2,1,1,1
"RKDF College of Technology, NH-12, Hoshangabad Road, Jatkhedi (Id: C-36127)",62,22,1,,,,4,2,,,1,,,
"RKDF Institute of Hotel management, Bhopal (Id: C-35329)",12,,3,,,,5,,,,1,,,
"R.K.D.F.Institute Of Pharmacy Science, Bhopal,  N.H. 12, Hoshangabad Road, Near Mark Hotel, Bhopal (Id: C-35918)",6,1,,1,,,4,,,,,,,
"R.K.D.F. School of Pharmaceutical Sciences, NH-12, Village Jatkhedi, Hoshangabad Road, Bhopal (Id: C-35970)",20,5,,,,,7,3,,,1,,,
RK First Grade College (Id: C-54890),5,1,1,,,,4,1,,,,,,
"R K G EDUCATIONAL COLLEGE, IN FRONT OF Dr. AMBEDAKAR UNIVERSITY, RAEBAREILY ROAD (Id: C-12826)",8,8,1,2,,,2,2,,,,1,,
"R.K.GUPTA MEMORIAL INSTITUTE OF TECH. & MGMT. 123 MOHAMMADPUR, SIKANDARA, AGRA (Id: C-15334)",15,6,4,2,,,8,1,,,2,,,
R K INSTITUTE OF ALLIED HEALTH SCIENCES (Id: C-62167),2,3,,,,,,,,,,,1,
R K INSTITUTE OF PHARMACY (Id: C-61375),7,1,1,,,,3,,,,1,,,
"RKLK COLLEGE OF EDUCAITON, SURYAPET (Id: C-33274)",15,1,5,,3,,4,,,,1,,,
"RKLK DEGREE COLLEGE, SURYAPET (Id: C-33168)",17,10,4,1,2,,11,6,,,1,,,
RKLK PG College (Id: C-19715),7,2,2,,,,5,2,,,,,,
RKLK PG COLLEGE SURYAPET (Id: C-33224),15,8,2,1,,,10,5,,,1,1,,
R K MAHAVIDYALAYA BHELARA GHATAMPUR SULTANPUR (Id: C-63602),14,3,3,,,,6,1,,,,1,,
"R. K. MAHILA COLLEGE, GIRIDIH (Id: C-44373)",13,12,1,,,,2,,,,2,1,,1
R K M Ayurvedic Medical College (Id: C-40370),24,18,1,1,,,2,2,,,2,2,,
"RKM Degree College Penumuru(M), Chittoor Dist.   Rural Co-Ed. (Id: C-27781)",10,1,2,1,,,3,,,,,,,
RKM PGDCA TECHNICAL COLLEGE VIJAYANAGAR (Id: C-6846),3,,,,,,2,,,,,,,
R.K.Nagar College (Id: C-26452),14,11,2,1,,,2,2,,,1,0,,
R.K.Pandey Mahavidyalaya Chattona (Id: C-60574),12,2,,,,,8,1,,,,,,
"R.K. PARA MEDICAL COLLEGE (Inst. Code - 528), SALEM (Id: C-48986)",,5,,2,,,,1,,,,,,
"R.K. (P.G.) College Shamali (Prabudh Nagar) Mob.No.01398-253197, 250143 (Id: C-29072)",21,3,1,1,,,7,1,,,1,,1,
"R K PHARMACY COLLEGE, AZAMGARH (Id: C-46693)",23,14,2,2,,,12,9,,,1,,,
R.K.R. College of Education (Id: C-14980),5,4,,,,,5,4,,,,1,,
"R. K. Saha  Women's College, Kishanganj (Id: C-29595)",19,10,,,,,14,7,1,,3,2,,
R.K. Samy College of Education (Id: C-14866),6,9,3,4,,,3,5,,,,,1,
R K  Sanatombi  Devi College of  Education (Id: C-9376),13,26,1,,,1,4,9,,,,1,1,1
R.K. Sarada Mission Vivekananda Vidyabhavan (Id: C-43370),,60,,4,,1,,5,,,,,,1
"R.K.S. College, Dalmianagar (Id: C-27148)",46,7,2,,,,40,7,,,6,,,
"R. K. S. College, Newara-Tilda (Id: C-21792)",2,1,,,,,1,,,,,,,
R.K.S.D. College (Id: C-10663),55,82,5,2,,,,2,,,,,,2
R.K.S.D. College of Education (Id: C-10654),7,8,1,,,,1,1,,,,,,
"RKSD College of Pharmacy ambala road, Kaithal (Id: C-30702)",15,21,,,,,3,,,,,,,
RK University Ayurvedic College and Hospital (Id: C-58555),14,15,1,1,,,,,,,,,1,1
"R K V COLLEGE OF EDUCATION, BAGODAR (Id: C-48599)",14,3,1,,1,,2,1,2,,,,,
"R K VIDYA PRASARAK MANDALs COLLEGE OF ARTS, COMMERCE AND SCIENCE (Id: C-48556)",3,6,,,,,1,1,,,,1,,
"R K Vigyan P G Mahavidyalaya, Jaipur (Id: C-39186)",7,5,,,,,7,3,,,1,2,,
R K VISION DEGREE COLLEGE (Id: C-62815),7,1,,,2,,4,,,,,,,
R K Vyawasaik Sansthan (B Ed)  (Id: C-51368),9,3,,,,,3,1,,,1,,,
"R.K.YADAV LAW COLLEGE, BHIKHPUR (Id: C-50064)",5,,1,,,,3,,,,,,,
R L Abhishek Rao College of Nursing (Id: C-54660),1,12,,2,,3,,1,,,,,,1
"R.L. College, Madhawnagar (Id: C-29609)",37,1,,,,,32,1,,,3,,,
R.L. College of Education (Id: C-10891),3,10,1,5,,,,1,,,,,,
R L D COLLEGE UDOTPURA (Id: C-52261),4,3,,,,,,,,,,,,
"R L Jalappa Institute of Technology, DODDABALLAPURA (Id: C-1275)",55,16,6,1,1,1,43,13,,,1,,,
"R.L. Law College, Davangere (Id: C-9845)",9,4,1,1,,1,,,,,,1,,
R L MAHTO INSTITUTE OF EDUCATION (Id: C-59211),13,3,,,,,5,1,,,1,,,
R.L.N. DORA COLLEGE OF EDUCATION (Id: C-24852),6,2,1,,,,4,2,,,,,,
"R.L.R.P. MAHAVIDYALAYA, UGU, UNNAO (Id: C-48165)",12,1,2,,,,4,,,,1,,,
R.L.S. COLLEGE OF EDUCATION (Id: C-28061),3,13,,2,,,1,4,,1,,,,
"R L S MEMORIAL DEGREE COLLEGE, JASPUR (Id: C-52324)",33,16,7,1,,,9,3,,,4,2,,1
"R.L.S.R.S.M. College, (Id: C-8748)",23,2,3,,,,10,1,,,3,,,
R. L. S. Y. College (Id: C-15062),26,27,1,3,4,9,9,8,,,3,1,1,9
R.L.S.Y. College (Id: C-12904),35,3,,,,,29,3,,,3,,,
"R.L.S.Y. College, Bettiah (Id: C-19019)",34,8,1,1,,,4,2,,,5,,1,
"R. L. S. Y. COLLEGE JHUMRITELIYA, KODERMA (Id: C-44457)",21,5,1,,,,17,2,1,,1,,,
"RLV College of Music and Fine Arts, Tripunithura (Id: C-11676)",26,14,6,3,,,10,4,3,,1,1,2,
"RMC Degree College, Halukuru, Amarapuram (Id: C-30976)",4,,1,,,,3,,,,,,,
"R.M. College, Saharsa (Id: C-29632)",58,7,,,,,7,1,,,7,,,
RMD College of Agriculture and Research Centre (Id: C-33297),16,4,,1,5,2,3,,,1,,,,1
"R.M.D.College of Science & Edu., Patia,BBSR, Khurda (Id: C-39745)",16,14,2,,,,1,,,,,1,,
R.M.D Engineering College (Id: C-16527),49,74,,2,,,42,67,,,,2,8,16
"R.M. Devi C.D. Rai College, Nuwan, Kochas (Id: C-35766)",35,5,,1,,,34,4,,,2,,,
"R.M. Dhariwal Sinhgad Management School, Kondhapuri, Tal.Shirur, Dist.Pune 412208 (Id: C-41277)",3,3,1,,,,1,,,,1,,,
R M K College of Engineering and Technology (Id: C-16497),55,50,1,2,,,49,42,,,2,,6,8
R.M.K Engineering College (Id: C-16614),101,94,1,2,,,83,71,,,4,3,17,23
"R.M. Memorial T.T. College, Jannayak Bhawan, Kherliphatak, Kota (Id: C-19399)",6,23,1,2,,,2,6,,,2,3,2,1
"R.M.M. Law College, Saharsa (Id: C-29603)",7,,,,,,1,,,,,,,
RM Patel Women's Arts College (Id: C-18205),9,7,3,1,,,4,1,,,,,,
RMP CSI PSK Rajaratnam Memorial  College of Education (Id: C-14931),4,7,,,,,4,7,,,,,4,6
"R.M.P Degree College, Narsan (Id: C-24532)",16,7,2,,,,2,6,,,,1,,
"R.M.P. P.G. COLLEGE, (Id: C-12354)",8,4,,,,,2,,,,,,,
"R.M.P.S.Bhalchandra College of Pharmacy, Gorhe Khurd, Pune 42 (Id: C-42136)",2,14,,1,,,,1,,,,,,
R M S College (Id: C-62968),12,3,,,,,3,,,,,,,
RMS INSTITUTE OF MANAGEMENT AND SCIENCE (Id: C-62007),1,3,,,,,,1,,,,,,1
RMS Polytechnic 642 (Id: C-403),59,38,,1,1,,3,3,,,2,1,4,2
"R.Muddarangegowda College of Education, Sira (Id: C-7008)",10,5,2,1,1,1,5,1,,,,,,
"RMV GIRLS COLLEGE,  NEAR GULAB BAGH ROAD (Id: C-40029)",1,4,,,,,,1,,,,1,1,2
R.M.W. College (Id: C-12941),11,5,2,,,,2,2,,,,,,
R.N.A.R. College (Id: C-8763),12,2,,,,,7,1,,,1,,,
"R N Balika Mahavidyalaya, Badhauna, Fatehganj, Jaunpur (Id: C-60892)",1,,,,,,1,,,,,,,
"R.N.B.Mahavidyalaya,Khuntuni,Cuttack (Id: C-39789)",16,10,1,1,,,6,5,,,,,,
"R.N.C. Mahavidyalaya Saidpur, Ballia (Id: C-13706)",9,2,1,,,,5,,,,,,,
R.N.College (Id: C-8714),12,6,2,,,1,3,4,,,1,,,
"R N COLLEGE, BHALERI (Id: C-59818)",1,2,1,,,,,2,,,,,,
"R.N. College, Hajipur (Id: C-19029)",42,20,,1,,,16,6,2,,2,1,,1
"R. N COLLEGE HASTINAPUR, MEERUT (Id: C-28854)",18,8,4,,,,6,2,,,,,,
R.N. DEGREE COLLEGE GILOYA ROAD ETAH (Id: C-15166),11,2,,,,,9,1,,,,,,
"R. N. Education Trust's Reckon Women Degree College of Commerce, R. N. Nagar,  Vakan Road, Vakan Pada, Behind Shalimar Udyag Nalasopara (E), Dist.- Palghar-401209 (Id: C-61791)",1,3,,,,,,,,,,,,
"R.N.G. Patel Institute of Technology, Bardoli  (Id: C-20)",73,14,5,,2,1,10,5,,,2,,3,1
"R. N. INSTITUTE OF ADVANCED STUDIES GANCHA ROAD, BANDA  (Id: C-56304)",10,1,,,,,5,1,,,,1,,
"R.N. INSTITUTE OF MORDEN MANAGEMENT EDUCATION & RESEARCH CENTRE RAM BAGH, SECTOR-4, SHASTRI NAGAR, MEERUT (Id: C-29074)",10,11,2,2,,,4,2,,,,1,,
R.N. MAHAVIDHYALYA  (Id: C-57424),5,3,,1,3,2,1,,,,,,,
"R.N.M.COLLEGE, HUNTERGANJ, CHATRA (Id: C-44420)",22,4,,,,,10,,,,5,,,
"R N Patel Ipcowala School of Law and Justice, Vallabh Vidyanagar (Id: C-47250)",6,8,,,,,1,,,,1,0,2,
RNRM COLLEGE OF PHARMACY (Id: C-58361),1,8,,,,,,2,,,,,,
"R.N. Sah Sarvodaya College, Ganjbharsara (Id: C-36594)",57,2,2,,,,40,1,,,1,,,
RNS FIRST GRADE COLLEGE (Id: C-47834),7,27,,2,,,5,11,,,,,,
"R N SHETTY TRUST R N SHETTY DEGREE COLLEGE, MURUDESHWAR (Id: C-51034)",4,4,1,,,,3,3,,,,,,
R. N. SHIKSHA DEEP KANYA MAHAVIDHYALAYA (Id: C-55471),1,3,,,,,1,1,,,,,,
"R.N. SINGH MAHAVIDYALAYA, SAHSON, (Id: C-12463)",9,3,1,,,,6,2,,,1,,,
"R N S Institute of Technology, BANGALORE (Id: C-1332)",113,100,5,4,3,1,10,10,,,2,3,1,1
RNS Nursing College (Id: C-40538),,13,,,,,,,,,,1,,6
RNS SCHOOL OF ARCHITECURE (Id: C-62798),3,6,,,,,1,,,,,,1,
R N TAGORE B ED COLLEGE (Id: C-50769),12,2,,,,,,,,,1,,,
"R N T COLLEGE, ARTHUNA, BANSWARA (Id: C-60522)",7,3,1,,1,1,1,,,,,,,1
"R.N.T.COLLEGE, HIGHWAY ROAD, NEAR MATAJI TEMPLE, KAPASAN (Id: C-39942)",45,11,,2,,,15,4,,,5,2,,
RNT College of Agriculture Kapasan (Id: C-62775),15,10,,1,,1,6,3,,,2,,1,
"R.N.T. COLLEGE OF B.ED. ,SECTOR NO. 5 GANDHI NAGAR (Id: C-39968)",4,12,,1,,,1,2,,,1,,,
R.N.T. College of Teachers Education (Id: C-26569),5,11,3,,,,,4,,,,2,,
"R.N.T. COLLEGE OF TEACHERS & EDUCATION, KAPASAN (Id: C-39991)",12,9,3,,,,2,3,,,2,3,1,1
"R.N.T.LAW COLLEGE, SECTOR NO. 5 GANDHI NAGAR (Id: C-39898)",9,5,,,,,4,,,,4,,1,
"RNT MEDICAL COLLEGE, UDAIPUR (Id: C-47214)",137,98,34,14,16,11,15,11,1,,2,,8,5
"R.N.T. Memorial Girls College, Newai (Id: C-13047)",10,7,1,,,,4,2,,,,,,
"R.N.Y.M. COLLEGE, BARHI (Id: C-44395)",18,8,2,,,,14,5,,,2,1,,
Rockvale Management College 287 (Id: C-46451),6,5,,,,2,1,,,,,,1,2
"Rock Valley College of Science & Management, Sri Sai Sadana, Near Kamala Nehru Hospital, Bangarpet Road, Kolar-563 101. (Id: C-20598)",6,5,1,,,,4,4,,,1,1,,
"Rock Valley Teachers College, Near Sai Sadhana, KNS Hospital, Bangarpet Road, KOLAR-563 101 (Id: C-21198)",11,3,2,1,2,,7,1,,,1,,,
Roda Mistry College of Social Work & Research Centre (Id: C-26055),3,10,1,2,,,,2,,,,,1,3
Roever College of Engineering and Technology (Id: C-25009),42,21,8,1,,,33,20,,,1,1,3,2
Roever Engineering College (Id: C-25010),77,42,13,6,1,,60,36,,,1,2,5,4
Roever Institute of Management (Id: C-25052),7,5,2,1,,,5,4,,,,,,
Rofel Shri G. M. Bilakhia College of Applied Sciences (Id: C-530),2,6,,,,,1,3,,,,1,,
"ROFEL,SHRI G.M.BILAKHIA COLLEGE OF PHARMACY, VAPI 239 (Id: C-198)",9,12,,,,,4,7,,,,1,1,
ROHILKHAND DEGREE COLLEGE (Id: C-57694),10,,,,,,4,,,,4,,,
ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: C-48273),80,55,,1,,,38,28,,,,1,27,21
"Rohini College of Nursing, Hanumakinda (Id: C-30389)",,20,,15,,,,3,,,,1,,2
"Rohini Degree College, Chilakaluripet, Guntur District (Id: C-58701)",8,11,1,2,,,,2,,,1,1,,
ROHITASH DEGREE COLLEGE  (Id: C-57018),6,10,,1,,,3,6,,,,,,
"ROHIT MEMORIAL INSTITUTE OF EDUCATION, SARASWATI NAGAR, DOSTPUR, SULTANPUR (Id: C-42351)",3,1,,,,,1,,,,,,,
"ROHIT MEMORIAL MAHAVIDYALAYA, MAHADEVNAGAR, CHAPAR, SULTANPUR (Id: C-42279)",18,2,3,,,,5,,,,,,,
"Rohtas Mahila College, Sasaram (Id: C-27164)",7,5,1,1,2,,1,,,,,2,1,
"Rohtas Vidhi Mahavidyalaya, Sasaram (Id: C-27156)",3,2,,,,,,1,,,,,,
"Roland Institute of Computer and Management Studies, Berhampur (Id: C-39329)",4,2,,,,,,,,,,,,
"Roland Institute of Pharmaceutical Sciences (RIPS), Berhampur (Id: C-30091)",26,8,,,,,,,,,,,,
"Roland Institute of Technology (RIT), Berhampur (Id: C-30113)",49,19,2,1,,,9,,,,,,,
ROM COMPUTER ACCOUNTS EDUCATION PVT LTD (Id: C-53881),5,1,,,,,1,,,,1,,,
Roohi College of Nursing (Id: C-40212),11,27,,,,,10,24,,,,1,1,12
ROOPA RAM SEVADA MAHAVIDHYALAYA KERU JODHPUR (Id: C-53229),4,1,2,,,,2,1,,,,,,
"Roopi Devi Kanya Mahavidyalaya, Mandal (Id: C-13224)",4,6,,1,,1,2,1,,,1,,,1
"ROOP RANI SUKHNANDAN SINGH COLLEGE, NAUBASTA, (Id: C-12704)",20,15,3,,,,3,4,,,,,,
"Roorkee Adventist College, Roorkee (Id: C-24542)",7,8,,,,,,,,,1,2,5,5
ROORKEE BUSINESS SCHOOL  (Id: C-58798),5,4,3,1,,,2,2,,,1,,,2
Roorkee College (Id: C-62507),18,13,,,,,1,2,,,2,,1,
Roorkee College of Engineering (Id: C-21318),78,39,4,1,,,12,8,,,5,1,,
Roorkee College of Management & Computer Applications (Id: C-21305),1,5,,,,,1,1,,,,,,
Roorkee College of Pharmacy (Id: C-21272),18,9,,,,,6,,,,3,1,,1
Roorkee Institute of Technlogy (Id: C-21298),79,47,2,,,,6,1,,,4,2,,
Roots college of Hotel Management and Culinary Arts  (Id: C-62465),4,3,,,,,,,,,,,1,1
"Ropar Institute of Management & Technology,  Village Shekhpura, Ropar-Bela Road, Ropar (Id: C-22070)",6,19,,3,,,,3,,,,,6,16
R.O.PATEL MAHILA  COLLEGE-MORBI (Id: C-845),9,18,,,,,3,2,,,,,,
"Rosario College of Management Studies, Cathedral, Mangalore-575001 (Id: C-16834)",3,5,,,,,3,5,,,,,3,3
Rosary College of Commerce & Arts  Navelim (Id: C-30852),19,69,,,,1,,1,,,,,16,51
Roseline College of Education (Id: C-14882),8,8,4,4,,,4,4,,,,,1,
"Rose Mary College of Arts & Science, Nagercoil Road, Muneerpallam Village, Tirunelveli (Id: C-41144)",,33,,3,,,,28,,,,,,21
"Rose TT College, Jaipur (Id: C-38757)",8,8,,1,,,6,3,,,,,,
"ROSHANBI SHAMANJI COLLEGE OF AGRICULTURE, NESARI (Id: C-50687)",4,7,,,,,2,,,,,,,
"Roshan College of Education, Shri Nagar Colony, Dhar (Id: C-29862)",7,8,,1,1,1,3,2,,,1,1,,
ROSHANLAL DAIPURIA COLLGE SURPURA (Id: C-34956),10,7,,,,,,1,,,,,,
"ROSHAN LAL DAIPURIYA COLLEGE , SURPURA (Id: C-34788)",8,,,,,,5,,,,1,,,
Roshan Lal Shanti Devi Academy (Id: C-13385),45,10,,,,,13,2,,,1,,,
"ROSHAN SINGH BADAN SINGH GAYATRI MAHAVIDYALAYA, KABARAI (Id: C-22564)",21,4,2,,,,4,,,,,,,
"ROSHAN SINGH CHAUHAN SAMARK MAHAVIDYALAYA, ASMOLI (Id: C-45157)",24,19,3,1,,,7,6,,,5,1,,
"ROSHINI DEGREE COLLEGE,  RAGHAVULU NAGAR, NEAR BUS STAND MANTHANI (Id: C-21496)",15,2,3,1,,,9,1,,,,,,
ROSOMOYEE VIVEKANANDA TOPOBAN PATHAGAR B.ED COLLEGE (Id: C-53112),10,2,1,,,,2,,,,3,,,
ROSY ROYAL COLLEGE OF ALLIED HEALTH SCIENCES (Id: C-56839),2,7,,,,,,,,,1,1,1,2
ROSY ROYAL COLLEGE OF PHARMACY (Id: C-61748),2,5,,,,,,2,,1,,,,2
ROSY ROYAL HOMEOPATHIC MEDICAL COLLEGE AND HOSPITAL (Id: C-60305),22,14,,,,2,4,,,,4,,,2
ROSY ROYAL INTERNATIONAL COLLEGE OF PHYSIOTHERAPY (Id: C-56838),11,1,,,,,,,,,,,2,
"Rotary Institute of Management & Techonology, Chandausi (Id: C-13382)",24,18,3,2,,,6,3,,,,,,
Rourkela College (Id: C-40830),4,7,1,,,2,,,,,,,,
"Rourkela Institute of Management Studies (RIMS), Rourkela (Id: C-30031)",11,5,,,,,,,,,,,,
"Rourkela Institute of Technology (RIT), Rourkela (Id: C-30152)",9,3,,,,,,,1,,,,,
Rourkela Law College (Id: C-40890),6,2,,,,,,,,,1,,,
ROURKELA SENIOR NURSING COLLEGE (Id: C-55948),3,6,,,,2,,2,,,,,,1
"ROUSSEAU COLLEGE OF TEACHER EDUCATION, VENKATRAOPALLY, NARSINGAPUR (P), BOINPALLI (M), KARIMNAGAR (Id: C-21561)",12,4,,,,,3,4,,,1,,,
Rousseau Institute of Management Studies (Id: C-19644),10,2,,1,,,7,,,,3,1,,
Royal Academy of Law (Id: C-9392),3,9,,,,,3,9,,,,,,
"Royal College, Dongargarh (Id: C-58835)",3,,1,,,,1,,,,,,,
"Royal College, Lalbagh, Rajnandgaon (Id: C-21840)",6,9,2,2,,,2,3,,,,,,1
ROYAL COLLEGE OF ARTS AND SCIENCE (Id: C-52034),1,15,,,,,,11,,,,5,,
ROYAL COLLEGE OF ARTS SCIENCE AND MANAGEMENT (Id: C-60185),4,8,,1,,,,1,,,1,,,
"Royal College of Edu. Bhesodamandi, Mandsaur (Id: C-31645)",13,3,1,,1,,3,,,,1,,,
Royal College of Education (Id: C-14948),4,3,2,,,,2,3,,,,1,,
Royal College of Education (Id: C-14970),12,4,3,,,,9,4,,,1,,,1
ROYAL COLLEGE OF EDUCATION (Id: C-50183),3,3,,,,,1,2,,,,,2,
"ROYAL COLLEGE OF EDUCATION AND RESEARCH FOR WOMEN AT ROYAL COLLEGE, THANE (Id: C-45242)",,7,,,,,,1,,,,2,,
"Royal College of  Education, Bellary (Id: C-8608)",13,3,1,,,,5,3,,,1,2,,
"Royal College of Education, Markapur, Prakasam District (Id: C-41211)",1,,,,,,,,,,,,,
"ROYAL COLLEGE OF ENGINEERING & TECHNOLOGY, AKKIKAVU,THRISSUR (Id: C-8064)",37,49,1,1,,,17,28,1,,7,10,7,7
"ROYAL COLLEGE OF LAW 28 KM. Stone, NH-24, DASANA CROSSING, GZB (Id: C-28909)",16,13,4,1,,,3,3,,,3,,,
Royal College of Nursing (Id: C-40297),11,26,,,,,1,,,,,1,6,18
"ROYAL COLLEGE OF NURSING (Inst. Code - 388) , COIMBATORE (Id: C-45559)",6,16,,,,,2,,,,,,1,6
"Royal College of Pharmacy and Health Sciences (RCPHS), Berhampur (Id: C-30100)",38,12,,1,,,7,1,1,1,,,,
"Royal College of Pharmacy Sanjay Nagar, Ring Road No 1 (Id: C-15613)",8,11,1,1,,1,2,4,,,,,,1
ROYAL COLLEGE OF TECHNOLOGY (Id: C-52940),20,8,2,,,,3,,,,3,,,
Royal Degree College (Id: C-25663),10,10,1,1,1,,1,2,,,1,,1,
"Royal Degree College, Anjani Extension, Chintamani-563 125, Chikkaballapur Dist, (10-11) (Id: C-20963)",13,3,3,,2,,7,3,,,2,1,,
Royal Degree College for Women (Id: C-26153),1,22,,1,,,,1,,,1,20,,
Royal Degree College (Rural Co-Education) (Id: C-25794),11,7,,,,,,1,,,,1,,1
"ROYAL DENTAL COLLEGE,MANNARAPARAMBA, CHALISSERY (Id: C-8011)",45,37,1,,,,14,10,,,13,7,13,10
"ROYAL EDUCATIONAL INSTITUTE 28 KM. Stone, NH-24, DASANA CROSSING,  GHAZIABAD (Id: C-28578)",14,24,3,2,,,,5,,,2,,,
"ROYAL EDUCATION SOCIETYS DR A R UNDRE WOMENâ??S COLLEGE OF SCIENCE, RAIGAD (Id: C-45213)",1,15,,,,,,4,,,1,10,,
ROYAL INSTITUTE OF COMMERCE (Id: C-60814),5,2,,1,,,1,,,,1,,,
"Royal Institute of Manag.& Advance Stu., Ratlam (Id: C-32599)",19,21,1,1,,,1,2,,,2,1,4,3
"Royal Institute of Management and Advanced Studies, Behind Land Mark Motors, Gram Salakhedi & Kharakhedi, Ratlam - 457001 (Id: C-36002)",10,13,1,2,,,4,2,,,,,,
"Royal Institute of Nursing,  Village Jaito Sarja, Tehsil  Batala, Distt. Gurdaspur- 143505 (Id: C-29244)",,44,,,,,,,,,,,,41
ROYAL INSTITUTE OF PROFESSIONAL STUDIES DABRA (Id: C-31152),3,1,,,,,,1,,,,,,
ROYAL INSTITUTE OF SCIENCE AND MANAGEMENT (Id: C-28129),3,12,,,,,,2,,,,,,
"Royal PG Centre, Rayadurg (Id: C-30970)",9,3,,,,,8,2,,,,,,
"ROYAL PRUDANCE DEGREE COLLEGE, SITAPUR ROAD, MUDIA KHEDA, LAKHIMPUR, (Id: C-12633)",15,14,,,,,6,8,,,,1,,
"ROYAL RAJASTHAN COLLEGE, BHINMAL  (Id: C-60493)",10,1,2,,2,,5,,,,,,,
ROYAL SCHOOL OF ARCHITECTURE (Id: C-49249),7,8,,,,,2,,,,1,1,,
Royal School of Engineering and Technology (Id: C-54628),29,13,1,2,,,2,,,,3,1,,
"Royal School of Information & Management, Agarala Village, Tirupati (Id: C-27823)",8,10,3,1,,,,4,,,,,,
Royal Science College  (Id: C-53435),8,1,,,,,,,,,1,,,
ROY COLLEGE OF EDUCATION (Id: C-61205),11,2,,,,,,,,,,,,
R.P.A.  College  of   Education (Id: C-14949),3,10,,,,,3,8,,,,,3,5
"R.P.BHALODIYA COMMERCE, MANAGEMTNT & COMPUTER COLLEGE-RAJKOT (Id: C-848)",21,7,,1,,,1,,,,,,,
"R.P.BHALODIYA MAHILA ARTS, COMM.  & HOMESCI. COLLEGE-UPLETA (Id: C-749)",6,14,,1,,2,2,1,,,,,,
R P C DEGREE COLLEGE (Id: C-47288),8,18,,2,,,1,1,,,,,8,14
"R.P. Degree College, Dharsara, Ghorawal, Sonebhadra (Id: C-13559)",16,3,5,1,,,4,2,,,,,,
"R.P. DEGREE COLLEGE, KAMALGANJ, (Id: C-12118)",16,2,2,1,,,7,1,,,,,,
"R P Dular Balika Mahavi., Jhunjhunun (Id: C-38276)",6,6,,,,,4,3,,,,2,,
R P EDUCATIONAL TRUST R P INSTITUTE OF HOSPITALITY AND MANAGEMENT (Id: C-63003),2,2,,,,,,,,,,,1,
"R.P. Education Trust Group of Institution ( Pharmacy) Vill. Bastara, Karnal (Id: C-30745)",1,9,,,,,,,,,,,,
"R.P.GIRLS COLLEGE, BHINDER (Id: C-39869)",3,4,,,,,1,,,,,1,1,
R.P.Gogate College of Arts Science and R V Joglekar College of Commerce  Ratnagiri Dist Ratnagiri  415 612 (Id: C-33751),30,10,12,2,,,1,1,,,1,1,5,1
R.P. Indraprastha Group of Institutions (Id: C-10576),9,7,0,,,,0,,,,,0,0,
"R.P. Indraprastha Institute of Medical Sciences, Karnal (Id: C-48366)",9,32,,0,,,,0,,,1,1,,1
R.P. Indraprastha Institute of Technology (Id: C-10549),21,15,,,,,,1,,,,,1,1
R.P. INSTITUTE OF SPEECH AND AUDIOLOGY (Id: C-57662),4,7,,,,,,,,,1,,,1
"R.P KANYA MAHAVIDYALAYA BHUDHAICH,JALESAR ROAD,MAHAMAYA NAGAR (Id: C-15168)",7,13,1,4,,,1,3,,,,,1,1
"R.P.M. College, Patnacity (Id: C-12846)",6,16,,,,,2,7,,,1,3,,
"R.P.M. DEGREE COLLEGE, HATHRAS (Id: C-15324)",22,10,7,2,,,6,,,,1,,,
R P Memorial Mahavidyalaya (Id: C-63813),3,2,,,,,2,1,,,,,,
"R.P.PHY.EDU. COLLEGE ,BHINDER (Id: C-39877)",8,5,1,,,,,,,,,,,
"R.P. RANGLAL INSTITUTE OF TECH. & MANAGEMENT, NAI BASTI, (Id: C-12287)",5,2,,,,,1,,,,,,,1
"R.P.S.B.S. MAHAVIDYALAYA, SISANI, JAFARGANJ, AMBEDKAR NAGAR (Id: C-42611)",3,2,,,,,1,,,,,,,
R.P.S. College (Id: C-12966),48,18,,,,,,,,,2,,,
"R.P.S. College, Chakeyaj, Vaishali (Id: C-18990)",7,,3,,1,,2,,,,,,,
"R.P.S. College, Harnaut (Id: C-12849)",36,9,2,,,,25,7,,,1,,,
R.P.S. COLLEGE OF EDUCATION (Id: C-28402),9,5,,,,,2,2,,,,,,
RPS COLLEGE OF PHARMACY (Id: C-61576),5,5,4,1,1,,0,1,,,,,,
R.P. Sharma Institute of Technology (Id: C-43571),99,19,,,,,3,,,,2,1,,
